Study,Population,Year,A ,N(AC),B,N(BD)
"Gezen-Ak, D.",Caucasian,2016,110,380,67,239
"Petersen, M. S.",Faroe Islands,2014,48,121,84,235
R. Török,Hungarians,2013,24,100,25,109
Nicole M. Gatto,California,2015,79,276,151,416
C. Agliardi, Caucasian Italians,2021,108,406,217,800
Keiko Tanaka,Japanese,2017,178,229,291,357
R. Meamar,Iranian,2016,24,59,17,53
Seo Young Kang,Korean,2016,123,137,145,163
