Study,Population,Year,A ,N(AC),B,N(BD)
"Gezen-Ak, D.",Caucasian,2016,130,381,101,241
"Petersen, M. S.",Faroe Islands,2014,34,121,58,234
R. Török,Hungarians,2013,42,100,42,109
Nicole M. Gatto,California,2015,46,282,104,419
C. Agliardi, Caucasian Italians,2021,118,406,244,800
Keiko Tanaka,Japanese,2017,109,229,169,357
R. Meamar,Iranian,2016,14,59,2,53
Seo Young Kang,Korean,2016,37,137,60,163
"Fahmy, E. M.",Egyptian,2021,8,50,8,50
Mohammadzadeh,South Western Iranian,2016,36,150,128,160
