Study,Population,Year,A ,N(AC),B,N(BD)
"Gezen-Ak, D",Caucasian,2016,181,382,105,237
R. Török,Hungarians,2013,42,100,35,109
Nicole M. Gatto,California,2015,109,283,153,422
C. Agliardi, Caucasian Italians,2021,136,406,362,800
Keiko Tanaka,Japanese,2017,108,229,141,357
R. Meamar,Iranian,2016,6,59,2,53
Seo Young Kang,Korean,2016,46,137,48,163
"Fahmy, E. M.",Egyptian,2021,28,50,25,50
Mohammadzadeh,South Western Iranian,2016,0,150,0,150
